# pulseAmplitude,deltaCpos (at 0.65 V),CposInitial
-1.423000000000000043e+00,-2.379149717673068655e-15,1.280746375983047307e-12
-1.423000000000000043e+00,2.263672543332684393e-15,1.283125525700720376e-12
-1.423000000000000043e+00,4.469633943520066271e-14,1.280861853157387692e-12
-1.423000000000000043e+00,-5.835101136301523432e-14,1.236165513722187029e-12
-1.423000000000000043e+00,3.186962414257128483e-15,1.294516525085202263e-12
-1.479999999999999982e+00,4.282770705463369958e-14,1.291329562670945135e-12
-1.479999999999999982e+00,-2.137387247406481082e-14,1.248501855616311435e-12
-1.479999999999999982e+00,1.497285504098336423e-14,1.269875728090376246e-12
-1.479999999999999982e+00,-5.932904492005602773e-14,1.254902873049392882e-12
-1.479999999999999982e+00,4.999203972851245500e-14,1.314231917969448910e-12
-1.479999999999999982e+00,5.430945432979985632e-16,1.264239878240936455e-12
-1.479999999999999982e+00,-4.736960802712828181e-14,1.263696783697638456e-12
-1.479999999999999982e+00,-2.265889554947466899e-15,1.311066391724766738e-12
-1.479999999999999982e+00,5.134108558779801845e-14,1.313332281279714205e-12
-1.479999999999999982e+00,2.869611185135170809e-15,1.261991195691916186e-12
-1.479999999999999982e+00,-5.506451230577830462e-14,1.259121584506781015e-12
-1.479999999999999982e+00,6.094962795656468659e-14,1.314186096812559320e-12
-1.479999999999999982e+00,-2.761529240758840199e-14,1.253236468855994634e-12
-1.479999999999999982e+00,1.893187928792100009e-14,1.280851761263583036e-12
-1.479999999999999982e+00,4.193983420746394372e-14,1.261919881975662035e-12
-1.479999999999999982e+00,-1.157486201181934846e-14,1.219980047768198092e-12
-1.479999999999999982e+00,-1.074160751289267985e-14,1.231554909780017440e-12
-1.479999999999999982e+00,-5.724277774738251305e-14,1.242296517292910120e-12
-1.479999999999999982e+00,7.227118797103445857e-14,1.299539295040292633e-12
-1.479999999999999982e+00,-1.976019480033562448e-14,1.227268107069258174e-12
-1.536000000000000032e+00,-3.380989812371140375e-14,1.247028301869593799e-12
-1.536000000000000032e+00,-2.550374217748945032e-14,1.280838199993305203e-12
-1.536000000000000032e+00,-4.030329840809295742e-15,1.306341942170794653e-12
-1.536000000000000032e+00,6.981050170991053132e-14,1.310372272011603949e-12
-1.536000000000000032e+00,-6.964110670260080490e-14,1.240561770301693417e-12
-1.536000000000000032e+00,-9.192338952652162972e-15,1.310202877004294222e-12
-1.536000000000000032e+00,6.820199454308262829e-15,1.319395215956946385e-12
-1.536000000000000032e+00,5.542746699092979594e-14,1.312575016502638122e-12
-1.536000000000000032e+00,2.059984944697790755e-14,1.257147549511708327e-12
-1.536000000000000032e+00,3.191133014972556020e-16,1.236547700064730419e-12
-1.536000000000000032e+00,-2.141900654132969523e-14,1.236228586763233163e-12
-1.536000000000000032e+00,-2.541351923400547100e-14,1.257647593304562859e-12
-1.536000000000000032e+00,-1.102451748472251342e-14,1.283061112538568330e-12
-1.536000000000000032e+00,5.446624629427743039e-14,1.294085630023290843e-12
-1.536000000000000032e+00,-1.328097704902884324e-14,1.239619383729013413e-12
-1.536000000000000032e+00,-2.317376127012858144e-14,1.252900360778042256e-12
-1.536000000000000032e+00,3.167966092640755895e-14,1.276074122048170837e-12
-1.536000000000000032e+00,7.765569584672234369e-16,1.244394461121763278e-12
-1.536000000000000032e+00,3.789449699209394263e-15,1.243617904163296055e-12
-1.536000000000000032e+00,-4.000359754370402292e-14,1.239828454464086661e-12
-1.592000000000000082e+00,-1.237578525388069705e-14,1.279832052007790684e-12
-1.592000000000000082e+00,-1.558111335073088107e-14,1.292207837261671381e-12
-1.592000000000000082e+00,6.796796799883700394e-14,1.307788950612402262e-12
-1.592000000000000082e+00,-2.381314903821601571e-14,1.239820982613565258e-12
-1.592000000000000082e+00,-8.581920871357032715e-15,1.263634131651781274e-12
-1.592000000000000082e+00,-3.452878483436600914e-14,1.272216052523138306e-12
-1.592000000000000082e+00,2.286742590530132915e-14,1.306744837357504315e-12
-1.592000000000000082e+00,-2.135776542283718398e-14,1.283877411452202986e-12
-1.592000000000000082e+00,4.166618080776046688e-14,1.305235176875040170e-12
-1.592000000000000082e+00,1.656777273997124061e-14,1.263568996067279703e-12
-1.592000000000000082e+00,-1.427589227485733817e-14,1.247001223327308463e-12
-1.592000000000000082e+00,-3.989929610908544005e-14,1.261277115602165801e-12
-1.592000000000000082e+00,4.943970591409709072e-14,1.301176411711251241e-12
-1.592000000000000082e+00,1.067619974960756010e-14,1.251736705797154150e-12
-1.592000000000000082e+00,-2.006010093482463320e-14,1.241060506047546590e-12
-1.592000000000000082e+00,-3.950847044352833299e-14,1.261120606982371223e-12
-1.592000000000000082e+00,7.456907500430394988e-15,1.300629077425899556e-12
-1.592000000000000082e+00,4.621853166199182344e-14,1.293172169925469161e-12
-1.592000000000000082e+00,-6.141468265407316790e-15,1.246953638263477338e-12
-1.592000000000000082e+00,-1.970185780018035947e-14,1.253095106528884655e-12
-1.647999999999999909e+00,-3.738822656670945403e-14,1.272796964329065014e-12
-1.647999999999999909e+00,3.039956014942805737e-14,1.310185190895774468e-12
-1.647999999999999909e+00,-2.697742000439645402e-14,1.279785630746346411e-12
-1.647999999999999909e+00,-1.178931812072709860e-14,1.306763050750742865e-12
-1.647999999999999909e+00,3.909983952912656139e-14,1.318552368871469963e-12
-1.647999999999999909e+00,-2.263497657129088476e-15,1.279452529342343402e-12
-1.647999999999999909e+00,-2.474491078654661767e-14,1.281716026999472491e-12
-1.647999999999999909e+00,1.908410111759562692e-15,1.306460937786019108e-12
-1.647999999999999909e+00,3.927821121385469889e-14,1.304552527674259545e-12
-1.647999999999999909e+00,-1.481108177980901336e-14,1.265274316460404847e-12
-1.647999999999999909e+00,-2.313083945320546715e-15,1.280085398240213860e-12
-1.647999999999999909e+00,3.572958546194577125e-14,1.282398482185534407e-12
-1.647999999999999909e+00,-1.046737384091877488e-14,1.246668896723588635e-12
-1.647999999999999909e+00,-4.938692737517430365e-15,1.257136270564507410e-12
-1.647999999999999909e+00,2.746737351090625270e-15,1.262074963302024841e-12
-1.647999999999999909e+00,-4.168051530139393374e-14,1.259328225950934215e-12
-1.647999999999999909e+00,2.708632757231636515e-14,1.301008741252328149e-12
-1.647999999999999909e+00,-1.380098069287927954e-14,1.273922413680011784e-12
-1.647999999999999909e+00,-3.122491841238445007e-15,1.287723394372891064e-12
-1.647999999999999909e+00,2.508399732903927179e-14,1.290845886214129509e-12
-1.703999999999999959e+00,3.797041343809503602e-15,1.265761888885090237e-12
-1.703999999999999959e+00,-1.123365024017462756e-15,1.261964847541280733e-12
-1.703999999999999959e+00,-2.161860112443800492e-14,1.263088212565298196e-12
-1.703999999999999959e+00,-3.796980142368544688e-14,1.284706813689736201e-12
-1.703999999999999959e+00,7.771311887094533887e-15,1.322676615113421648e-12
-1.703999999999999959e+00,9.869436050561579442e-15,1.314905303226327114e-12
-1.703999999999999959e+00,2.017723564280407360e-14,1.305035867175765534e-12
