pulseAmplitude,deltaRneg(measured at -80mV),RnegInitial,deltaRpos(measured at +80mV),RposInitial
-0.302,-30126848.666,1905592198.506,-22152586.58,2256699576.869
-0.618,-69442987.671,1875465349.84,-79038939.736,2234546990.289
-1.728,-809691351.117,1806022362.169,-943875163.202,2155508050.553
-1.708,-13841431.582,996331011.052,-16557791.82,1211632887.351
1.993,1102202060.76,982489579.47,1257373459.762,1195075095.531
2.204,258571857.993,2084691640.23,304497052.238,2452448555.293
0.681,-40278138.301,2343263498.223,-14217607.981,2756945607.531
-2.73,-1331739105.29,2302985359.922,-1556572803.004,2742727999.55
2.328,1364565179.983,971246254.632,1562891227.976,1186155196.546
0.99,-50482390.082,2335811434.615,-34008644.771,2749046424.521
0.368,-20163050.337,2285329044.532,-18860554.629,2715037779.751
0.186,-10275418.398,2265165994.196,-12647256.13,2696177225.121
2.635,272000280.837,2254890575.798,297777975.523,2683529968.992
1.72,5408623.231,2526890856.635,26489017.159,2981307944.515
-1.805,-1513640188.292,2532299479.866,-1765958170.977,3007796961.674
2.78,1483480037.553,1018659291.573,1728232542.991,1241838790.697
-1.593,-1448334699.236,2502139329.126,-1689747667.866,2970071333.688
-2.74,-94799693.413,1053804629.891,-110411467.733,1280323665.823
2.196,1344136894.451,959004936.478,1555611238.686,1169912198.09
1.34,-10773126.346,2303141830.929,7017505.226,2725523436.776
2.757,277317986.368,2292368704.582,329219355.846,2732540942.003
1.799,-12292368.877,2569686690.95,-6853697.799,3061760297.848
2.715,80621731.574,2557394322.073,80076361.318,3054906600.049
1.725,-21612248.349,2638016053.647,-7074984.42,3134982961.368
-1.85,-1604508981.646,2616403805.298,-1890230602.309,3127907976.947
1.937,1229584193.863,1011894823.652,1433246745.075,1237677374.639
1.091,-27453609.359,2241479017.515,-22482264.268,2670924119.713
-1.404,-1107151165.673,2214025408.156,-1309009640.761,2648441855.445
-2.142,-133031654.399,1106874242.483,-157748315.127,1339432214.684
1.326,473571064.645,973842588.084,523454235.815,1181683899.557
-0.545,-28571427.985,1447413652.729,-28207957.294,1705138135.372
1.86,622399013.227,1418842224.745,752946615.02,1676930178.077
-1.451,-990956216.874,2041241237.972,-1156023897.63,2429876793.097
2.716,1411577648.817,1050285021.098,1635900379.278,1273852895.468
-1.298,-1273526192.441,2461862669.915,-1466569090.89,2909753274.745
0.395,18059835.779,1188336477.474,952980.292,1443184183.856
-1.921,-208088445.089,1206396313.253,-230548613.142,1444137164.148
-0.062,26300667.338,998307868.163,3222916.226,1213588551.006
1.093,178804343.423,1024608535.501,207309583.058,1216811467.231
-2.978,-246039910.35,1203412878.925,-253640568.051,1424121050.289
0.3,31773620.477,957372968.574,2354318.116,1170480482.238
0.158,1175488.446,989146589.052,-735453.214,1172834800.354
0.198,1729112.344,990322077.498,1740458.941,1172099347.141
-2.944,-38648734.83,992051189.841,-15490569.579,1173839806.082
-2.441,-588199.004,953402455.011,-3104570.123,1158349236.503
2.267,1343824154.352,952814256.007,1566399206.519,1155244666.38
-1.381,-1208558327.665,2296638410.359,-1403456512.339,2721643872.899
2.731,1353126508.075,1088080082.694,1581569494.827,1318187360.56
-1.285,-1248895803.04,2441206590.77,-1455139859.469,2899756855.388
0.212,16685352.55,1192310787.73,2969515.47,1444616995.919
0.339,2020477.896,1208996140.28,-1036533.087,1447586511.389
-0.553,421783.21,1211016618.176,-2616124.912,1446549978.302
1.054,155489462.413,1211438401.386,184602003.305,1443933853.39
0.255,-700325.434,1366927863.799,-1260773.572,1628535856.695
2.807,1100968012.788,1366227538.365,1302183552.921,1627275083.123
1.343,-18720644.96,2467195551.153,-167334.135,2929458636.044
2.663,99089717.561,2448474906.193,82929276.98,2929291301.909
1.222,-32081827.14,2547564623.753,-16140949.084,3012220578.889
-2.831,-1549161509.28,2515482796.613,-1812798212.943,2996079629.804
0.296,32143572.944,966321287.333,2947649.903,1183281416.861
0.8,33577474.099,998464860.277,36071314.777,1186229066.764
-2.176,-72878725.044,1032042334.377,-57857800.205,1222300381.541
-1.985,-2921259.271,959163609.333,-5975927.799,1164442581.336
1.598,773313115.269,956242350.061,886248193.086,1158466653.537
1.263,5685765.736,1729555465.33,6859685.541,2044714846.623
1.553,57829447.297,1735241231.067,65820183.03,2051574532.164
-2.71,-839588681.295,1793070678.363,-949927360.5,2117394715.195
-1.13,16311364.212,953481997.068,-3475444.438,1167467354.694
0.795,41779026.841,969793361.28,36780186.202,1163991910.256
1.304,350765110.56,1011572388.12,403952211.906,1200772096.458
-2.327,-407867848.548,1362337498.68,-442997401.316,1604724308.364
-2.074,-3655277.622,954469650.132,-9785886.428,1161726907.047
2.16,1259370934.952,950814372.51,1465815483.524,1151941020.62
2.631,304211183.949,2210185307.462,355146967.167,2617756504.143
0.616,-55276290.845,2514396491.411,-32289176.985,2972903471.311
-0.827,-406854114.006,2459120200.566,-482502063.067,2940614294.326
-2.185,-1079330716.224,2052266086.559,-1271312999.118,2458112231.259
-2.455,-14580673.679,972935370.336,-26113963.558,1186799232.141
-1.444,6663397.432,958354696.657,-2372929.66,1160685268.583
-2.731,-17276562.16,965018094.089,-11066159.969,1158312338.922
2.129,1274569582.737,947741531.929,1498671203.599,1147246178.953
-1.268,-1082099263.305,2222311114.667,-1230118482.628,2645917382.553
-0.352,42191620.175,1140211851.362,-6921563.83,1415798899.924
1.336,430200642.217,1182403471.537,497284235.879,1408877336.095
1.136,-4550983.678,1612604113.753,-3519753.809,1906161571.973
-2.059,-636292494.155,1608053130.075,-725634653.133,1902641818.165
2.16,1239894788.165,971760635.92,1438664369.4,1177007165.031
0.376,-45895759.518,2211655424.085,-28983536.211,2615671534.431
2.415,257272711.991,2165759664.567,291956275.473,2586687998.22
-2.157,-1453361264.758,2423032376.559,-1694199585.779,2878644273.693
-0.507,28903423.051,969671111.801,512283.336,1184444687.914
-2.922,-48270675.192,998574534.851,-26936375.854,1184956971.25
-1.291,11003518.375,950303859.659,-1319391.56,1158020595.396
0.726,29385066.45,961307378.034,21241813.17,1156701203.837
-0.246,2474566.48,990692444.484,2457610.967,1177943017.007
